LinkID,Time,Speed
5441,588,28.1108
5441,626,27.21
5441,664,27.21
5441,704,29.1864
5441,722,34.7887
5441,745,28.0431
5441,788,28.0431
5441,839,16.1457
5441,886,24.7471
5441,929,24.7471
5441,978,24.7471
5441,1024,12.6697
5441,1068,12.6697
5441,1110,9.9059
5441,1151,12.6697
5441,1194,34.7887
5441,1242,34.7887
5441,1293,24.7312
5441,1345,34.7887
5441,1396,34.7887
5522,45,24.4134
5522,369,22.3809
5522,406,21.0443
5522,442,15.309
5522,477,15.309
5522,513,15.309
5522,550,7.6444
5522,588,7.0502
5522,626,10.3367
5522,664,6.943
5522,704,10.773
5522,722,19.2011
5522,745,14.2862
5522,788,14.2862
5522,839,20.1724
5522,886,12.7773
5522,929,12.7773
5522,978,12.7773
5522,1024,5.7512
5522,1068,7.0325
5522,1110,7.0325
5522,1151,4.9008
5522,1194,16.8923
5522,1242,16.8923
5522,1293,16.8923
5522,1345,22.0755
5522,1396,16.8923
5523,45,35.64
5523,369,39.6
5523,406,39.6
5523,442,24.5793
5523,477,24.5793
5523,513,24.5793
5523,550,25.4571
5523,588,25.4571
5523,626,17.82
5523,664,17.82
5523,704,17.82
5523,722,32.4
5523,745,24.5793
5523,788,24.5793
5523,839,24.5793
5523,886,30.9913
5523,929,30.9913
5523,978,30.9913
5523,1024,30.9913
5523,1068,8.3859
5523,1110,8.3859
5523,1151,8.3859
5523,1194,32.4
5523,1242,32.4
5523,1293,32.4
5523,1345,32.4
5523,1396,32.4
5524,45,32.5
5524,369,34.4118
5524,406,34.4118
5524,442,22.9412
5524,477,22.9412
5524,513,22.9412
5524,550,6.573
5524,588,6.573
5524,626,13.1461
5524,664,6.3587
5524,704,13.1461
5524,722,22.0755
5524,745,20.1724
5524,788,20.1724
5524,839,20.1724
5524,886,18.5714
5524,929,18.5714
5524,978,18.5714
5524,1024,5.7353
5524,1068,8.2979
5524,1110,8.2979
5524,1151,4.0345
5524,1194,22.0755
5524,1242,22.0755
5524,1293,22.0755
5524,1345,22.0755
5524,1396,22.0755
5531,45,52.2
5531,369,104.4
5531,406,104.4
5531,442,104.4
5531,477,104.4
5531,513,104.4
5531,550,52.2
5531,588,52.2
5531,626,52.2
5531,664,52.2
5531,704,52.2
5531,722,52.2
5531,745,52.2
5531,788,52.2
5531,839,52.2
5531,886,34.8
5531,929,34.8
5531,978,34.8
5531,1024,34.8
5531,1068,26.1
5531,1110,26.1
5531,1151,26.1
5531,1194,52.2
5531,1242,52.2
5531,1293,52.2
5531,1345,52.2
5531,1396,52.2
5610,45,25.7806
5610,369,25.7806
5610,406,25.7806
5610,442,19.4927
5610,477,19.4927
5610,513,19.4927
5610,550,21.6
5610,588,21.6
5610,626,19.4927
5610,664,19.4927
5610,704,19.4927
5610,722,22.8343
5610,745,17.3739
5610,788,17.3739
5610,839,17.3739
5610,886,19.4927
5610,929,19.4927
5610,978,19.4927
5610,1024,19.4927
5610,1068,22.2
5610,1110,22.2
5610,1151,22.2
5610,1194,22.8343
5610,1242,22.8343
5610,1293,22.8343
5610,1345,22.8343
5610,1396,16.65
5611,45,27.8836
5611,369,25.65
5611,406,22.8522
5611,442,23.7522
5611,477,23.7522
5611,513,23.7522
5611,550,26.3964
5611,588,24.0015
5611,626,23.4465
5611,664,23.4465
5611,704,21.7673
5611,722,25.1486
5611,745,22.3223
5611,788,22.3223
5611,839,18.1227
5611,886,21.3735
5611,929,21.3735
5611,978,21.3735
5611,1024,19.0417
5611,1068,14.6542
5611,1110,11.8442
5611,1151,19.0417
5611,1194,21.4204
5611,1242,21.4204
5611,1293,21.4204
5611,1345,21.4204
5611,1396,13.2518
5725,45,43.2
5725,369,53.1692
5725,406,53.1692
5725,442,46.08
5725,477,46.08
5725,513,46.08
5725,550,38.4
5725,588,38.4
5725,626,40.6588
5725,664,40.6588
5725,704,40.6588
5725,722,43.2
5725,745,25.6
5725,788,25.6
5725,839,25.6
5725,886,34.56
5725,929,34.56
5725,978,34.56
5725,1024,34.56
5725,1068,27.648
5725,1110,27.648
5725,1151,27.648
5725,1194,43.2
5725,1242,43.2
5725,1293,43.2
5725,1345,43.2
5725,1396,43.2
5763,45,14.7158
5763,369,14.7158
5763,406,14.7158
5763,442,12.9046
5763,477,12.9046
5763,513,12.9046
5763,550,20.5461
5763,588,14.4621
5763,626,10.7538
5763,664,10.7538
5763,704,10.7538
5763,722,13.3143
5763,745,14.2169
5763,788,14.2169
5763,839,14.2169
5763,886,10.106
5763,929,10.106
5763,978,10.106
5763,1024,10.106
5763,1068,12.1565
5763,1110,12.1565
5763,1151,12.1565
5763,1194,13.3143
5763,1242,13.3143
5763,1293,13.3143
5763,1345,13.3143
5763,1396,13.3143
5837,45,30.06
5837,369,24.048
5837,406,24.048
5837,442,28.6286
5837,477,28.6286
5837,513,28.6286
5837,550,26.1391
5837,588,26.1391
5837,626,15.8211
5837,664,15.8211
5837,704,15.8211
5837,722,28.6286
5837,745,30.06
5837,788,30.06
5837,839,30.06
5837,886,31.6421
5837,929,31.6421
5837,978,31.6421
5837,1024,27.3273
5837,1068,27.3273
5837,1110,27.3273
5837,1151,27.3273
5837,1194,28.6286
5837,1242,28.6286
5837,1293,28.6286
5837,1345,28.6286
5837,1396,28.6286
5841,45,49.8
5841,369,37.35
5841,406,37.35
5841,442,27.1636
5841,477,27.1636
5841,513,27.1636
5841,550,24.9
5841,588,24.9
5841,626,22.9846
5841,664,22.9846
5841,704,22.9846
5841,722,27.1636
5841,745,29.88
5841,788,29.88
5841,839,29.88
5841,886,21.3429
